Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
BRN,Barnwell Industries Inc. Common Stock,$2.20,0.00,0.00%,22061798.00,United States,1965,799,Energy,Oil & Gas Production
BROG,Brooge Energy Limited Ordinary Shares,$1.08,0.025,2.37%,118354774.00,United Kingdom,2018,5896,Energy,Integrated oil Companies
BROGW,Brooge Holdings Limited Warrant expiring 12/20/2024,$0.0021,0.0002,10.526%,230134.00,United Kingdom,2018,111266,Energy,Integrated oil Companies
BRY,Berry Corporation (bry) Common Stock,$5.31,0.07,1.336%,408546058.00,United States,2018,974504,Energy,Oil & Gas Production
BSM,Black Stone Minerals L.P. Common units representing limited partner interests,$14.79,0.14,0.956%,3333672241.00,United States,2015,243986,Energy,Oil & Gas Production
BTE,Baytex Energy Corp Common Shares,$3.06,0.06,2.00%,2463300000.00,Canada,2023,10972324,Energy,Oil & Gas Production
BTU,Peabody Energy Corporation Common Stock ,$21.33,0.60,2.894%,2685447000.00,United States,2017,2718197,Energy,Coal Mining
CAPL,CrossAmerica Partners LP Common Units representing limited partner interests,$20.91,0.32,1.554%,795556246.00,United States,2012,19088,Energy,Oil Refining/Marketing
CEIX,CONSOL Energy Inc. Common Stock ,$93.63,2.48,2.721%,2752087750.00,United States,2017,267126,Energy,Coal Mining
CHK,Chesapeake Energy Corporation Common Stock,$72.34,-0.01,-0.014%,9496444496.00,United States,,998018,Energy,Oil & Gas Production
CHKEL,Chesapeake Energy Corporation Class C Warrants,$52.50,0.00,0.00%,6891945480.00,United States,,17,Energy,Oil & Gas Production
CHKEZ,Chesapeake Energy Corporation Class B Warrants,$56.84,-0.86,-1.49%,7461679640.00,United States,,813,Energy,Oil & Gas Production
CHRD,Chord Energy Corporation Common Stock,$132.72,-0.21,-0.158%,8212657194.00,United States,,636296,Energy,Oil & Gas Production
CIVI,Civitas Resources Inc. Common Stock,$52.49,-0.93,-1.741%,5162372761.00,United States,2017,1013994,Energy,Oil & Gas Production
CKX,CKX Lands Inc. Common Stock,$13.2101,-0.4399,-3.223%,26777295.00,United States,2003,562,Energy,Oil & Gas Production
CLB,Core Laboratories Inc. Common Stock,$16.67,0.15,0.908%,782039227.00,Netherlands,2023,391549,Energy,Oilfield Services/Equipment
CLMT,Calumet Inc. Common Stock,$16.58,1.55,10.313%,1424117330.00,United States,2006,872054,Energy,Integrated oil Companies
CNQ,Canadian Natural Resources Limited Common Stock,$32.64,0.25,0.772%,69676869120.00,Canada,,9365528,Energy,Oil & Gas Production
CNX,CNX Resources Corporation Common Stock,$27.05,0.03,0.111%,4090686888.00,United States,1999,1563748,Energy,Oil & Gas Production
COP,ConocoPhillips Common Stock,$102.90,0.33,0.322%,119492603391.00,United States,,6775883,Energy,Integrated oil Companies
CRC,California Resources Corporation Common Stock,$48.78,0.38,0.785%,4350688200.00,United States,2020,546393,Energy,Oil & Gas Production
CRGY,Crescent Energy Company Class A Common Stock,$10.42,0.11,1.067%,1849182435.00,United States,2021,1460907,Energy,Oil & Gas Production
CRK,Comstock Resources Inc. Common Stock,$9.75,-0.21,-2.108%,2849541289.00,United States,,2186657,Energy,Oil & Gas Production
CRT,Cross Timbers Royalty Trust Common Stock,$9.19,0.14,1.547%,55140000.00,United States,1992,23510,Energy,Oil & Gas Production
CTRA,Coterra Energy Inc. Common Stock,$22.78,-0.07,-0.306%,16840671880.00,United States,,9582256,Energy,Oil & Gas Production
CVE,Cenovus Energy Inc Common Stock,$16.24,0.07,0.433%,30143096480.00,Canada,,8792158,Energy,Oil & Gas Production
CVI,CVR Energy Inc. Common Stock,$21.30,0.08,0.377%,2141301759.00,United States,2007,1265655,Energy,Integrated oil Companies
CVX,Chevron Corporation Common Stock,$139.21,1.33,0.965%,254603551301.00,United States,,6591508,Energy,Integrated oil Companies
DINO,HF Sinclair Corporation Common Stock,$44.23,-0.19,-0.428%,8439823260.00,United States,1960,1497566,Energy,Natural Gas Distribution
DK,Delek US Holdings Inc. Common Stock,$18.88,0.05,0.266%,1218489240.00,United States,2017,1000060,Energy,Integrated oil Companies
DKL,Delek Logistics Partners L.P. Common Units representing Limited Partner Interests,$42.25,1.28,3.124%,1995465430.00,United States,2012,66057,Energy,Natural Gas Distribution
DMLP,Dorchester Minerals L.P. Common Units Representing Limited Partnership Interests,$29.41,0.46,1.589%,1179006079.00,United States,,47391,Energy,Oil & Gas Production
DVN,Devon Energy Corporation Common Stock,$40.01,0.08,0.20%,25054262000.00,United States,1985,8036774,Energy,Oil & Gas Production
DWSN,Dawson Geophysical Company Common Stock,$1.50,-0.03,-1.961%,46360166.00,United States,,10985,Energy,Oil & Gas Production
E,ENI S.p.A. Common Stock,$30.54,0.32,1.059%,51550571641.00,Italy,,229252,Energy,Oil & Gas Production
EAF,GrafTech International Ltd. Common Stock,$0.7722,-0.0153,-1.943%,198584455.00,United States,2018,1116067,Energy,Industrial Machinery/Components
EC,Ecopetrol S.A. American Depositary Shares,$9.17,0.21,2.344%,18852004520.00,Colombia,,1873322,Energy,Oil & Gas Production
EGY,VAALCO Energy Inc.  Common Stock,$5.46,0.09,1.676%,566437670.00,United States,,1028450,Energy,Oil & Gas Production
ENB,Enbridge Inc Common Stock,$40.49,0.25,0.621%,86085414629.00,Canada,,2331882,Energy,Natural Gas Distribution
ENSV,Enservco Corporation Common Stock,$0.1185,-0.0015,-1.25%,5432263.00,United States,,177089,Energy,Oilfield Services/Equipment
EOG,EOG Resources Inc. Common Stock,$118.22,0.32,0.271%,67219841284.00,United States,,4709238,Energy,Oil & Gas Production
EP,Empire Petroleum Corporation Common Stock,$4.92,0.27,5.806%,154397703.00,United States,2022,27936,Energy,Oil & Gas Production
EPM,Evolution Petroleum Corporation Inc. Common Stock,$5.62,0.23,4.267%,187469892.00,United States,,371720,Energy,Oil & Gas Production
EPSN,Epsilon Energy Ltd. Common Share,$5.05,-0.07,-1.367%,110913246.00,United States,,309391,Energy,Oil & Gas Production
EQNR,Equinor ASA,$24.83,0.34,1.388%,73117723966.00,Norway,,2604943,Energy,Integrated oil Companies
EQT,EQT Corporation Common Stock,$32.86,-0.02,-0.061%,19519825800.00,United States,,8351431,Energy,Oil & Gas Production
FANG,Diamondback Energy Inc. Common Stock,$170.86,2.36,1.401%,30480476069.00,United States,2012,2673837,Energy,Oil & Gas Production
