Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
DTE,DTE Energy Company Common Stock,$124.49,0.11,0.088%,25771929759.00,United States,,933108,Utilities,Electric Utilities: Central
DTG,DTE Energy Company 2021 Series E 4.375% Junior Subordinated Debentures,$21.03,0.15,0.718%,4353632282.00,United States,2021,14375,Utilities,Electric Utilities: Central
DTM,DT Midstream Inc. Common Stock ,$75.52,1.03,1.383%,7333873772.00,United States,2021,524305,Utilities,Natural Gas Distribution
DTW,DTE Energy Company 2017 Series E 5.25% Junior Subordinated Debentures due 2077,$24.53,-0.04,-0.163%,5078202562.00,United States,2017,17695,Utilities,Electric Utilities: Central
DUK,Duke Energy Corporation (Holding Company) Common Stock,$115.97,-0.23,-0.198%,89552231845.00,United States,,2390256,Utilities,Power Generation
DUKB,Duke Energy Corporation 5.625% Junior Subordinated Debentures due 2078,$25.47,0.08,0.315%,19667977452.00,United States,2018,23441,Utilities,Power Generation
EAI,Entergy Arkansas LLC First Mortgage Bonds 4.875% Series Due September 1 2066,$22.93,0.09,0.394%,4903141299.00,United States,2016,75963,Utilities,Electric Utilities: Central
EBR,Centrais Electricas Brasileiras S A American Depositary Shares (Each representing one Common Share),$7.37,-0.07,-0.941%,16551651258.00,Brazil,2016,656476,Utilities,Electric Utilities: Central
ED,Consolidated Edison Inc. Common Stock,$103.39,-0.43,-0.414%,35788159008.00,United States,,1528602,Utilities,Power Generation
EDN,Empresa Distribuidora Y Comercializadora Norte S.A. (Edenor) American Depositary Shares,$23.29,0.52,2.284%,1055566964.00,Argentina,2007,169894,Utilities,Electric Utilities: Central
EE,Excelerate Energy Inc. Class A Common Stock,$18.51,0.41,2.265%,1981915436.00,United States,2022,118135,Utilities,Oil/Gas Transmission
EIX,Edison International Common Stock,$84.63,0.39,0.463%,32682138014.00,United States,,1920519,Utilities,Electric Utilities: Central
ELC,Entergy Louisiana Inc. Collateral Trust Mortgage Bonds 4.875 % Series due September 1 2066,$22.90,0.07,0.307%,4883139941.00,United States,2016,20868,Utilities,Electric Utilities: Central
ELLO,Ellomay Capital Ltd Ordinary Shares (Israel),$12.75,-0.16,-1.239%,163870459.00,Israel,,10520,Utilities,Electric Utilities: Central
ELP,Companhia Paranaense de Energia (COPEL) American Depositary Shares (each representing one Unit consisting one Common Share and four non-voting Class B Preferred Shares),$7.60,-0.05,-0.654%,2470659870.00,Brazil,2021,115788,Utilities,Electric Utilities: Central
ELPC,Companhia Paranaense de Energia (COPEL) American Depositary Shares (each representing four (4) Common Shares),$6.83,0.03,0.441%,2220343015.00,Brazil,2023,6883,Utilities,Electric Utilities: Central
EMP,Entergy Mississippi LLC First Mortgage Bonds 4.90% Series Due October 1 2066,$23.04,0.07,0.305%,4926662692.00,United States,2016,14838,Utilities,Electric Utilities: Central
ENIC,Enel Chile S.A. American Depositary Shares (Each representing 50 shares of Common Stock),$2.64,0.01,0.38%,3651994220.00,Chile,2016,542720,Utilities,Electric Utilities: Central
ENJ,Entergy New Orleans LLC First Mortgage Bonds 5.0% Series due December 1 2052,$23.1141,0.00,0.00%,4942507558.00,United States,,100,Utilities,Power Generation
ENLC,EnLink Midstream LLC Common Units representing Limited Partner Interests,$14.51,0.08,0.554%,6695631679.00,United States,,989380,Utilities,Natural Gas Distribution
ENLT,Enlight Renewable Energy Ltd. Ordinary Shares,$16.81,0.50,3.066%,1982951541.00,Israel,2023,2942,Utilities,Electric Utilities: Central
ENO,Entergy New Orleans LLC First Mortgage Bonds 5.50% Series due April 1 2066,$24.27,0.13,0.539%,5189674632.00,United States,2016,5562,Utilities,Power Generation
EPD,Enterprise Products Partners L.P. Common Stock,$29.40,0.25,0.858%,63806868216.00,United States,,2336367,Utilities,Natural Gas Distribution
ES,Eversource Energy (D/B/A) Common Stock,$67.50,-0.29,-0.428%,24123469478.00,United States,,1684977,Utilities,Electric Utilities: Central
ESGL,ESGL Holdings Limited Ordinary Shares,$1.70,0.35,25.926%,62560000.00,Singapore,,59574,Utilities,Environmental Services
ESGLW,ESGL Holdings Limited Warrants,$0.0118,0.0018,18.00%,434240.00,Singapore,,11900,Utilities,Environmental Services
ET,Energy Transfer LP Common Units ,$16.00,0.13,0.819%,54755741712.00,United States,,7368977,Utilities,Natural Gas Distribution
ETR,Entergy Corporation Common Stock,$123.55,1.32,1.08%,26418801023.00,United States,,1571724,Utilities,Electric Utilities: Central
EVRG,Evergy Inc. Common Stock,$60.36,0.28,0.466%,13880291197.00,United States,,1536252,Utilities,Power Generation
EXC,Exelon Corporation Common Stock,$39.86,0.56,1.425%,39879858531.00,United States,,19881385,Utilities,Power Generation
FE,FirstEnergy Corp. Common Stock,$44.06,-0.09,-0.204%,25375141693.00,United States,,2225215,Utilities,Electric Utilities: Central
FKWL,Franklin Wireless Corp. Common Stock,$4.11,-0.04,-0.964%,48433391.00,United States,,11874,Utilities,Telecommunications Equipment
FN,Fabrinet Ordinary Shares,$221.79,4.93,2.273%,8017933839.00,Cayman Islands,2010,534704,Utilities,Telecommunications Equipment
FTS,Fortis Inc. Common Shares,$45.18,0.42,0.938%,22373136000.00,United States,2016,427686,Utilities,Electric Utilities: Central
GFL,GFL Environmental Inc. Subordinate voting shares no par value,$40.26,-0.51,-1.251%,15159467588.00,Canada,2020,4846256,Utilities,Environmental Services
GNE,Genie Energy Ltd. Class B Common Stock Stock,$17.48,0.24,1.392%,470091528.00,United States,2011,90271,Utilities,Power Generation
GPJA,Georgia Power Company Series 2017A 5.00% Junior Subordinated Notes due October 1 2077,$25.04,0.10,0.401%,231907960.00,United States,2017,6483,Utilities,Electric Utilities: Central
GWRS,Global Water Resources Inc. Common Stock,$12.99,0.14,1.089%,314584156.00,United States,2016,51313,Utilities,Water Supply
HE,Hawaiian Electric Industries Inc. Common Stock,$11.17,-0.11,-0.975%,1232089492.00,United States,,1251235,Utilities,Electric Utilities: Central
IDA,IDACORP Inc. Common Stock,$103.00,-0.28,-0.271%,5485154172.00,United States,,220768,Utilities,Electric Utilities: Central
INFN,Infinera Corporation Common Stock,$6.47,0.04,0.622%,1524743143.00,United States,2007,21366672,Utilities,Telecommunications Equipment
KEN,Kenon Holdings Ltd. Ordinary Shares,$25.63,0.73,2.932%,1352388607.00,Singapore,2015,4770,Utilities,Electric Utilities: Central
KEP,Korea Electric Power Corporation Common Stock,$8.22,0.04,0.489%,10553889426.00,South Korea,1994,59354,Utilities,Electric Utilities: Central
KGS,Kodiak Gas Services Inc. Common Stock,$26.24,-0.01,-0.038%,2217532219.00,United States,2023,573775,Utilities,Natural Gas Distribution
KMI,Kinder Morgan Inc. Common Stock,$20.94,0.11,0.528%,46475547158.00,United States,2011,9023005,Utilities,Natural Gas Distribution
KNTK,Kinetik Holdings Inc. Class A Common Stock,$43.53,0.13,0.30%,6856797630.00,United States,2022,319805,Utilities,Natural Gas Distribution
LNG,Cheniere Energy Inc. Common Stock,$177.21,0.60,0.34%,40097862962.00,United States,2001,924085,Utilities,Oil/Gas Transmission
LNT,Alliant Energy Corporation Common Stock,$58.91,-0.09,-0.153%,15110389963.00,United States,,951980,Utilities,Power Generation
MNTK,Montauk Renewables Inc. Common Stock,$4.38,0.00,0.00%,629026683.00,United States,2021,151083,Utilities,Natural Gas Distribution
MSEX,Middlesex Water Company Common Stock,$62.94,1.15,1.861%,1122206227.00,United States,,103322,Utilities,Water Supply
NEP,NextEra Energy Partners LP Common Units representing limited partner interests,$25.18,-0.07,-0.277%,2355318516.00,United States,2014,903267,Utilities,Electric Utilities: Central
NEXT,NextDecade Corporation Common Stock,$4.59,-0.01,-0.217%,1190986913.00,United States,2015,923734,Utilities,Oil & Gas Production
NFE,New Fortress Energy Inc. Class A Common Stock,$10.91,0.22,2.058%,2237281483.00,United States,2019,2523608,Utilities,Oil/Gas Transmission
NFG,National Fuel Gas Company Common Stock,$59.18,-1.33,-2.198%,5406500336.00,United States,,586875,Utilities,Oil/Gas Transmission
NGG,National Grid Transco PLC National Grid PLC (NEW) American Depositary Shares,$69.27,-0.05,-0.072%,67688791374.00,United Kingdom,,342605,Utilities,Natural Gas Distribution
NGL,NGL ENERGY PARTNERS LP Common Units representing Limited Partner Interests,$4.49,0.06,1.354%,594982319.00,United States,2011,324387,Utilities,Natural Gas Distribution
NI,NiSource Inc Common Stock,$33.63,0.07,0.209%,15083385818.00,United States,,4370817,Utilities,Power Generation
NJR,NewJersey Resources Corporation Common Stock,$46.44,0.15,0.324%,4605341672.00,United States,,415378,Utilities,Oil/Gas Transmission
NNE,Nano Nuclear Energy Inc. Common Stock,$11.70,0.85,7.834%,352493657.00,United States,2024,4208257,Utilities,Electric Utilities: Central
NOVA,Sunnova Energy International Inc. Common Stock,$10.75,-0.47,-4.189%,1342292881.00,United States,2019,2570295,Utilities,Power Generation
NRG,NRG Energy Inc. Common Stock,$79.80,-0.27,-0.337%,16469110594.00,United States,,1793499,Utilities,Electric Utilities: Central
