Symbol,company,한국표준산업분류11차(대분류),한국표준산업분류11차(중분류),한국표준산업분류11차(소분류),한국표준산업분류11차(세분류),한국표준산업분류11차(세세분류)
A090370,메타랩스,제조업,"의복, 의복 액세서리 및 모피제품 제조업",봉제의복 제조업,기타 봉제의복 제조업,"근무복, 작업복 및 유사의복 제조업"
A038530,케이바이오,도매 및 소매업,도매 및 상품 중개업,생활용품 도매업,생활용품 도매업,생활용품 도매업
A032580,피델릭스,제조업,"전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",반도체 제조업,전자집적회로 제조업,전자집적회로 제조업
A367000,플래티어,정보통신업,출판업,소프트웨어 개발 및 공급업,시스템ㆍ응용 소프트웨어 개발 및 공급업,응용 소프트웨어 개발 및 공급업
A090150,아이윈,제조업,자동차 및 트레일러 제조업,자동차 신품 부품 제조업,자동차용 기타 신품 부품 제조업,그 외 자동차용 신품 부품 제조업
A258610,케일럼,제조업,금속가공제품 제조업; 기계 및 가구 제외,"구조용 금속제품, 탱크 및 증기발생기 제조업","구조용 금속제품, 탱크 및 증기발생기 제조업","구조용 금속제품, 탱크 및 증기발생기 제조업"
A127710,아시아경제,정보통신업,정보서비스업,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업","자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업","자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업"
A340810,씨유박스,정보통신업,출판업,소프트웨어 개발 및 공급업,시스템ㆍ응용 소프트웨어 개발 및 공급업,시스템 소프트웨어 개발 및 공급업
A028080,휴맥스홀딩스,정보통신업,"컴퓨터 프로그래밍, 시스템 통합 및 관리업","컴퓨터 프로그래밍, 시스템 통합 및 관리업","컴퓨터 프로그래밍, 시스템 통합 및 관리업","컴퓨터 프로그래밍, 시스템 통합 및 관리업"
A208640,썸에이지,정보통신업,출판업,소프트웨어 개발 및 공급업,소프트웨어 개발 및 공급업,소프트웨어 개발 및 공급업
A038620,위즈코프,도매 및 소매업,소매업; 자동차 제외,연료 소매업,운송장비용 연료 소매업,운송장비용 주유소 운영업
